name,url,year_drafted,pick,year_1_av,year_2_av,year_3_av,year_4_av,year_5_av
Robert Myers,https://www.pro-football-reference.com/players/M/MyerRo01.htm,2015,176,NaN,NaN,NaN,NaN,NaN
Deiontrez Mount,https://www.pro-football-reference.com/players/M/MounDe00.htm,2015,177,0,0,1,NaN,NaN
Matthew Wells,https://www.pro-football-reference.com/players/W/WellMa00.htm,2015,178,NaN,NaN,NaN,NaN,NaN
Max Valles,https://www.pro-football-reference.com/players/V/VallMa00.htm,2015,179,NaN,NaN,NaN,NaN,NaN
Michael Bennett,https://www.pro-football-reference.com/players/B/BennMi01.htm,2015,180,1,NaN,0,0,NaN
Kyshoen Jarrett,https://www.pro-football-reference.com/players/J/JarrKy00.htm,2015,181,3,NaN,NaN,NaN,NaN
Tevin Mitchel,https://www.pro-football-reference.com/players/M/MitcTe01.htm,2015,182,NaN,NaN,NaN,NaN,NaN
Tayo Fabuluje,https://www.pro-football-reference.com/players/F/FabuTa00.htm,2015,183,0,NaN,NaN,NaN,NaN
Kaelin Clay,https://www.pro-football-reference.com/players/C/ClayKa00.htm,2015,184,1,NaN,1.333333333,0,NaN
Tyrus Thompson,https://www.pro-football-reference.com/players/T/ThomTy01.htm,2015,185,NaN,NaN,NaN,NaN,NaN
Geremy Davis,https://www.pro-football-reference.com/players/D/DaviGe00.htm,2015,186,0,0,0,0,0
Evan Spencer,https://www.pro-football-reference.com/players/S/SpenEv00.htm,2015,187,0,NaN,NaN,NaN,NaN
Tony Steward,https://www.pro-football-reference.com/players/S/StewTo01.htm,2015,188,1,NaN,NaN,NaN,NaN
Charles Gaines,https://www.pro-football-reference.com/players/G/GainCh00.htm,2015,189,1,NaN,NaN,NaN,NaN
Ian Silberman,https://www.pro-football-reference.com/players/S/SilbIa00.htm,2015,190,0,NaN,NaN,0,NaN
JaCorey Shepherd,https://www.pro-football-reference.com/players/S/ShepJa00.htm,2015,191,NaN,1,NaN,NaN,NaN
Darius Philon,https://www.pro-football-reference.com/players/P/PhilDa01.htm,2015,192,1,2,4,6,NaN
B.J. Dubose,https://www.pro-football-reference.com/players/D/DuboB.00.htm,2015,193,NaN,NaN,NaN,NaN,NaN
Nick O'Leary,https://www.pro-football-reference.com/players/O/OLeaNi00.htm,2015,194,0,1,3,1,0.666666667
Malcolm Johnson,https://www.pro-football-reference.com/players/J/JohnMa06.htm,2015,195,0,0,NaN,NaN,NaN
Randall Evans,https://www.pro-football-reference.com/players/E/EvanRa00.htm,2015,196,0,NaN,NaN,NaN,NaN
Derron Smith,https://www.pro-football-reference.com/players/S/SmitDe05.htm,2015,197,1,1,0.666666667,NaN,NaN
Randall Telfer,https://www.pro-football-reference.com/players/T/TelfRa00.htm,2015,198,NaN,0,0,NaN,NaN
Leterrius Walton,https://www.pro-football-reference.com/players/W/WaltLe00.htm,2015,199,0,2,2,0,NaN
Quandre Diggs,https://www.pro-football-reference.com/players/D/DiggQu00.htm,2015,200,2,2,4,6,2.666666667
Bud Sasser,https://www.pro-football-reference.com/players/S/SassBu00.htm,2015,201,NaN,NaN,NaN,NaN,NaN
A.J. Derby,https://www.pro-football-reference.com/players/D/DerbA.00.htm,2015,202,NaN,0.666666667,1.333333333,0,NaN
Darius Kilgo,https://www.pro-football-reference.com/players/K/KilgDa01.htm,2015,203,1,1,NaN,1,NaN
Darren Waller,https://www.pro-football-reference.com/players/W/WallDa01.htm,2015,204,0,1,NaN,1,8
Josh Robinson,https://www.pro-football-reference.com/players/R/RobiJo02.htm,2015,205,0,NaN,NaN,NaN,NaN
Aaron Ripkowski,https://www.pro-football-reference.com/players/R/RipkAa00.htm,2015,206,0,2,0,NaN,NaN
Amarlo Herrera,https://www.pro-football-reference.com/players/H/HerrAm00.htm,2015,207,0,NaN,NaN,NaN,NaN
Andy Gallik,https://www.pro-football-reference.com/players/G/GallAn00.htm,2015,208,4,NaN,NaN,NaN,NaN
Obum Gwacham,https://www.pro-football-reference.com/players/G/GwacOb00.htm,2015,209,1,0,0,NaN,NaN
Christian Ringo,https://www.pro-football-reference.com/players/R/RingCh00.htm,2015,210,NaN,1,0,0.666666667,NaN
Reshard Cliett,https://www.pro-football-reference.com/players/C/ClieRe00.htm,2015,211,NaN,NaN,NaN,NaN,NaN
Anthony Chickillo,https://www.pro-football-reference.com/players/C/ChicAn00.htm,2015,212,1,4,2,2,1
Kennard Backman,https://www.pro-football-reference.com/players/B/BackKe00.htm,2015,213,0,NaN,NaN,NaN,NaN
Kristjan Sokoli,https://www.pro-football-reference.com/players/S/SokoKr00.htm,2015,214,0,NaN,NaN,NaN,NaN
Cody Wichmann,https://www.pro-football-reference.com/players/W/WichCo00.htm,2015,215,3,3,NaN,NaN,NaN
Christian Covington,https://www.pro-football-reference.com/players/C/CoviCh00.htm,2015,216,2,4,1,2,4
Rakeem Nunez-Roches,https://www.pro-football-reference.com/players/N/NuneRa00.htm,2015,217,1,3,5,0,1
Anthony Morris,https://www.pro-football-reference.com/players/M/MorrAn00.htm,2015,218,NaN,NaN,NaN,NaN,NaN
Hayes Pullard,https://www.pro-football-reference.com/players/P/PullHa00.htm,2015,219,1,1,6,1,NaN
Neal Sterling,https://www.pro-football-reference.com/players/S/SterNe00.htm,2015,220,0,1,1,0,NaN
Andre Debose,https://www.pro-football-reference.com/players/D/DeboAn00.htm,2015,221,NaN,NaN,NaN,NaN,NaN
Austin Reiter,https://www.pro-football-reference.com/players/R/ReitAu00.htm,2015,222,NaN,0,1,3,9
Deon Simon,https://www.pro-football-reference.com/players/S/SimoDe00.htm,2015,223,NaN,2,NaN,NaN,NaN
Bryce Hager,https://www.pro-football-reference.com/players/H/HageBr00.htm,2015,224,1,1,2,1,1
Jake Rodgers,https://www.pro-football-reference.com/players/R/RodgJa03.htm,2015,225,NaN,NaN,NaN,NaN,1
Bobby Hart,https://www.pro-football-reference.com/players/H/HartBo00.htm,2015,226,1,5,3,8,6
Martin Ifedi,https://www.pro-football-reference.com/players/I/IfedMa00.htm,2015,227,NaN,NaN,NaN,NaN,NaN
Austin Shepherd,https://www.pro-football-reference.com/players/S/ShepAu00.htm,2015,228,1,NaN,NaN,NaN,NaN
Ben Koyack,https://www.pro-football-reference.com/players/K/KoyaBe00.htm,2015,229,NaN,1,0,0,0
Marcus Murphy,https://www.pro-football-reference.com/players/M/MurpMa03.htm,2015,230,1,0,0,1,NaN
Joey Iosefa,https://www.pro-football-reference.com/players/I/IoseJo00.htm,2015,231,0,NaN,NaN,NaN,NaN
Edmond Robinson,https://www.pro-football-reference.com/players/R/RobiEd00.htm,2015,232,1,1,0,NaN,NaN
Da'Ron Brown,https://www.pro-football-reference.com/players/B/BrowDa03.htm,2015,233,NaN,NaN,NaN,NaN,NaN
Dezmin Lewis,https://www.pro-football-reference.com/players/L/LewiDe02.htm,2015,234,0,0,NaN,NaN,NaN
Kenny Hilliard,https://www.pro-football-reference.com/players/H/HillKe01.htm,2015,235,NaN,NaN,NaN,NaN,NaN
Mark Nzeocha,https://www.pro-football-reference.com/players/N/NzeoMa00.htm,2015,236,0,0,1,2,2
Brian Mihalik,https://www.pro-football-reference.com/players/M/MihaBr00.htm,2015,237,NaN,NaN,4,1,NaN
Mario Alford,https://www.pro-football-reference.com/players/A/AlfoMa00.htm,2015,238,0,0,NaN,NaN,NaN
Gerod Holliman,https://www.pro-football-reference.com/players/H/HollGe00.htm,2015,239,NaN,NaN,NaN,NaN,NaN
Corey Robinson,https://www.pro-football-reference.com/players/R/RobiCo00.htm,2015,240,0,3,3,1,NaN
Ifo Ekpre-Olomu,https://www.pro-football-reference.com/players/E/EkprIf00.htm,2015,241,NaN,NaN,NaN,NaN,NaN
Dexter McDonald,https://www.pro-football-reference.com/players/M/McDoDe02.htm,2015,242,0,0,2,NaN,NaN
Laurence Gibson,https://www.pro-football-reference.com/players/G/GibsLa00.htm,2015,243,NaN,NaN,NaN,NaN,NaN
Trent Brown,https://www.pro-football-reference.com/players/B/BrowTr02.htm,2015,244,1,7,5,9,6
Tre McBride,https://www.pro-football-reference.com/players/M/McBrTr00.htm,2015,245,0,0,1,NaN,NaN
Geoff Swaim,https://www.pro-football-reference.com/players/S/SwaiGe00.htm,2015,246,0,1,0,2,0
Darryl Roberts,https://www.pro-football-reference.com/players/R/RobeDa00.htm,2015,247,NaN,1,2,4,4
Ryan Murphy,https://www.pro-football-reference.com/players/M/MurpRy00.htm,2015,248,NaN,NaN,0,NaN,NaN
Akeem King,https://www.pro-football-reference.com/players/K/KingAk00.htm,2015,249,0,NaN,NaN,1,2
Trevor Siemian,https://www.pro-football-reference.com/players/S/SiemTr00.htm,2015,250,0,9,4,NaN,0
